reference_id,title,authors,year,DOI,URL,publication_status,supported_claim,applicability_caveat,category,evidence_source_ids
paperbench_arxiv,PaperBench: Evaluating AI's Ability to Replicate AI Research,"Starace, Giulio; Jaffe, Oliver; Sherburn, Dane; Aung, James; Chan, Jun Shern; Maksin, Leon; Dias, Rachel; Mays, Evan; Kinsella, Benjamin; Thompson, Wyatt; Heidecke, Johannes; Glaese, Amelia; Patwardhan, Tejal",2025,10.48550/arXiv.2504.01848,https://arxiv.org/abs/2504.01848,"Published ICML 2025, PMLR 267; arXiv v3","20 ICML 2024 papers; original authors' code and other online replications prohibited; paper plus author-clarification addendum; 8,316 rubric tasks.","Direct precedent. Author clarifications weaken a publication-only comparison; 21.0% is an average graded replication score, not a proportion of fully reconstructed papers; Code-Dev is a different endpoint.",independent implementation plus author clarification,paperbench_arxiv;paperbench_pmlr;paperbench_full_v3
corebench,CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,"Siegel, Zachary S.; Kapoor, Sayash; Nadgir, Nitya; Stroebl, Benedikt; Narayanan, Arvind",2024,10.48550/arXiv.2409.11363,https://arxiv.org/abs/2409.11363,arXiv preprint; v2 revised 2026-06-22; separate peer-reviewed venue not verified,"270 tasks based on 90 papers across computer science, social science and medicine; uses provided code and data.","Computational artifact reproducibility, not independent implementation; curated CodeOcean artifacts are not the EPJ sampling frame.",artifact rerun,corebench;corebench_full_v2
scienceagentbench_arxiv,ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery,"Chen, Ziru; Chen, Shijie; Ning, Yuting; Zhang, Qianheng; Wang, Boshi; Yu, Botao; Li, Yifei; Liao, Zeyi; Wei, Chen; Lu, Zitong; Dey, Vishal; Xue, Mingyi; Baker, Frazier N.; Burns, Benjamin; Adu-Ampratwum, Daniel; Huang, Xuhui; Ning, Xia; Gao, Song; Su, Yu; Sun, Huan",2025,10.48550/arXiv.2410.05080,https://arxiv.org/abs/2410.05080,Published ICLR 2025; first arXiv posting 2024; v3 2025,102 tasks from 44 publications in four disciplines; agents produce standalone Python programs; expert-provided knowledge and evaluation data support the tasks.,Cross-disciplinary agent evaluation predates Paper II; curated task instructions are not unassisted reconstruction of an entire publication.,curated scientific task implementation,scienceagentbench_arxiv;scienceagentbench;scienceagentbench_paper
replicationbench,ReplicationBench: Can AI Agents Replicate Astrophysics Research Papers?,"Ye, Christine; Yuan, Sihan; Cooray, Suchetha; Dillmann, Steven; Roque, Ian L. V.; Baron, Dalya; Frank, Philipp; Martin-Alvarez, Sergio; Koblischke, Nolan; Qu, Frank J; Yang, Diyi; Wechsler, Risa; Ciuca, Ioana",2025,10.48550/arXiv.2510.24591,https://arxiv.org/abs/2510.24591,"arXiv preprint v2, 2025-11-23; separate peer-reviewed venue not verified","v2: 20 astrophysics papers and 111 expert-written tasks; masked manuscripts, supplied data/execution metadata and author collaboration. v1 explicitly prohibits original code.",v1 had 19 papers/107 tasks; use version-specific counts. v2 fetched text does not retain v1's explicit original-code prohibition sentence. Selected reproducible papers and some author-provided private inputs differ from a public-input population audit. Avoid abstract's under-20% shorthand: v2 Table 2 includes 0.22.,paper-derived independent reconstruction tasks,replicationbench;replicationbench_full;replicationbench_full_v2
paper2code,Paper2Code: Automating Code Generation from Scientific Papers in Machine Learning,"Seo, Minju; Baek, Jinheon; Lee, Seongyun; Hwang, Sung Ju",2026,10.48550/arXiv.2504.17192,https://arxiv.org/abs/2504.17192,"Published ICLR 2026; arXiv first posted 2025, v5 2026","PaperCoder generates operational repositories through planning, analysis and code generation; assessed using model/human judgments and author repositories as ground truth when available.",Repository fidelity and execution/target reproduction must remain separate; evaluator access to reference code is not evidence that generation agents receive it.,paper-to-code framework,paper2code;paper2code_full;paper2code_iclr
socsci_repro,AI Coding Agents Can Reproduce Social Science Findings,"Alizadeh, Meysam; Mosleh, Mohsen; Gilardi, Fabrizio; Kasirzadeh, Atoosa; Tucker, Joshua",2026,10.48550/arXiv.2606.11447,https://arxiv.org/abs/2606.11447,"arXiv preprint v1, 2026-06-09; separate peer-reviewed venue not verified",SocSci-Repro-Bench uses 221 tasks from 54 papers across four social science disciplines with original code and data.,"Selection for known reproducibility or missing data differs from estimation over an unscreened corpus; includes Stata tasks, so do not assume equivalence to the zero commercial purchase policy.",artifact rerun,socsci_repro;socsci_repro_full
semantic_alignment,SA-Bench: Evaluating Semantic Alignment in LLM-Based Paper Reproduction,"Hu, Xue; Pan, Zewei; Su, Zeli; Liu, Zhou; Zhang, Wentao",2026,10.48550/arXiv.2608.24252,https://arxiv.org/abs/2608.24252,"arXiv preprint v1, 2026-08-25; separate peer-reviewed venue not verified","SA-Bench evaluates semantic alignment using 1,491 specification claims across 30 papers and numerical, methodological, protocol and ordering drift dimensions.",Claim-level static alignment is not an executed reproduction rate. Substantial prior art for specification-versus-implementation auditing.,implementation fidelity diagnostics,semantic_alignment;semantic_alignment_full
agentactionbench,Overview of the NLPCC 2026 Shared Task 11: Agent-Based Experiment Reproduction from Scientific Papers,"Hong, Hanhua; Li, Yizhi; Huy, Luu Gia; Yang, Jian; Zhou, Ming; Lin, Chenghua",2026,10.48550/arXiv.2609.11117,https://arxiv.org/abs/2609.11117,"arXiv preprint v1, 2026-09-10; title describes NLPCC shared task; proceedings publication not verified","AgentActionBench covers 150 papers (120 ML, 30 AI4Science), records tool actions and grades process rubrics; human-annotated subset covers 10%.",Process audit and beyond-ML claims are already present. Retrieved text does not establish an equivalent original-code firewall or zero commercial software policy.,process-oriented reproduction benchmark,agentactionbench;agentactionbench_full
researchcodebench,ResearchCodeBench: Benchmarking LLMs on Implementing Novel Machine Learning Research Code,"Hua, Tianyu; Hua, Harper; Xiang, Violet; Klieger, Benjamin; Truong, Sang T.; Liang, Weixin; Sun, Fan-Yun; Haber, Nick",2025,10.48550/arXiv.2506.02314,https://arxiv.org/abs/2506.02314,"arXiv preprint v1, 2025-06-02; separate peer-reviewed venue not verified",212 coding challenges evaluate translation of recent ML research contributions into executable code.,Challenge completion is not publication-level reconstruction and result reproduction; claim support here is abstract-level.,research coding challenges,researchcodebench;researchcodebench
autoreproduce,AutoReproduce: Automatic AI Experiment Reproduction with Paper Lineage,Xuanle Zhao; Zilin Sang; Yuxuan Li; Qi Shi; Weilun Zhao; Shuo Wang; Duzhen Zhang; Xu Han; Zhiyuan Liu; Maosong Sun (孙茂松),2026,10.18653/v1/2026.acl-long.1001,https://aclanthology.org/2026.acl-long.1001/,"Published ACL 2026, Volume 1 Long Papers",AutoReproduce uses paper lineage and testing; ReproduceBench contains 13 papers with verified reference implementations.,Lineage traces cited papers and associated code repositories; not automatically compatible with the blind-package firewall. Appendix says rerun reference performance can differ from the published value.,paper-to-code framework,autoreproduce;autoreproduce_pdf
